"gen","env","yield"
"B73_NC230-041-1-1-1-1/LH195","DEH1_2014",104.6386473
"B73_NC230-041-1-1-1-1/LH195","DEH1_2014",197.1796428
"B73_NC230-041-1-1-1-1/LH195","GAH1_2014",128.9071914
"B73_NC230-041-1-1-1-1/LH195","GAH1_2014",134.0509334
"B73_NC230-041-1-1-1-1/LH195","IAH1b_2014",157.8663913
"B73_NC230-041-1-1-1-1/LH195","IAH1b_2014",162.0455392
"B73_NC230-041-1-1-1-1/LH195","NCH1_2014",115.3813353
"B73_NC230-041-1-1-1-1/LH195","NCH1_2014",103.3186145
"B73_NC230-041-1-1-1-1/LH195","TXH1_2014",137.4088916
"B73_NC230-041-1-1-1-1/LH195","TXH1_2014",134.2243458
"B73_NC230-041-1-1-1-1/LH195","TXH2_2014",92.00439049
"B73_NC230-041-1-1-1-1/LH195","TXH2_2014",95.28213013
"B73_NC230-126-1-1-1-1/LH195","DEH1_2014",211.2802772
"B73_NC230-126-1-1-1-1/LH195","DEH1_2014",136.478859
"B73_NC230-126-1-1-1-1/LH195","GAH1_2014",125.8550501
"B73_NC230-126-1-1-1-1/LH195","GAH1_2014",98.62281724
"B73_NC230-126-1-1-1-1/LH195","IAH1b_2014",153.6464148
"B73_NC230-126-1-1-1-1/LH195","IAH1b_2014",166.6963289
"B73_NC230-126-1-1-1-1/LH195","NCH1_2014",116.6785714
"B73_NC230-126-1-1-1-1/LH195","NCH1_2014",139.8871056
"B73_NC230-126-1-1-1-1/LH195","TXH1_2014",140.9079994
"B73_NC230-126-1-1-1-1/LH195","TXH1_2014",150.3047066
"B73_NC230-126-1-1-1-1/LH195","TXH2_2014",120.889535
"B73_NC230-126-1-1-1-1/LH195","TXH2_2014",66.25194925
"B73_NC230-128-1-1-1-1/LH195","DEH1_2014",176.1985912
"B73_NC230-128-1-1-1-1/LH195","DEH1_2014",192.1375615
"B73_NC230-128-1-1-1-1/LH195","GAH1_2014",107.5454896
"B73_NC230-128-1-1-1-1/LH195","GAH1_2014",146.171609
"B73_NC230-128-1-1-1-1/LH195","IAH1b_2014",164.8844876
"B73_NC230-128-1-1-1-1/LH195","IAH1b_2014",135.5854005
"B73_NC230-128-1-1-1-1/LH195","NCH1_2014",143.9714007
"B73_NC230-128-1-1-1-1/LH195","NCH1_2014",129.4639168
"B73_NC230-128-1-1-1-1/LH195","TXH1_2014",119.4928844
"B73_NC230-128-1-1-1-1/LH195","TXH1_2014",147.768923
"B73_NC230-128-1-1-1-1/LH195","TXH2_2014",129.5336195
"B73_NC230-128-1-1-1-1/LH195","TXH2_2014",93.5779019
"M0001/LH195","DEH1_2014",155.47233
"M0001/LH195","DEH1_2014",191.1024006
"M0001/LH195","GAH1_2014",99.77667155
"M0001/LH195","GAH1_2014",104.9766323
"M0001/LH195","IAH1b_2014",141.1777412
"M0001/LH195","IAH1b_2014",182.0175966
"M0001/LH195","NCH1_2014",109.6437002
"M0001/LH195","NCH1_2014",96.09479018
"M0001/LH195","TXH1_2014",125.0995927
"M0001/LH195","TXH1_2014",166.3166844
"M0001/LH195","TXH2_2014",123.1056863
