"gen","env","yield"
"MO44_LH145_0127/LH198","IAH1a_2014",202.9013146
"MO44_LH145_0127/LH198","IAH1a_2014",176.7171216
"MO44_LH145_0127/LH198","IAH2_2014",189.8301739
"MO44_LH145_0127/LH198","IAH2_2014",182.0878827
"MO44_LH145_0127/LH198","IAH3_2014",226.1866699
"MO44_LH145_0127/LH198","IAH3_2014",188.0936004
"MO44_LH145_0127/LH198","ILH1_2014",238.9177364
"MO44_LH145_0127/LH198","ILH1_2014",235.2328371
"MO44_LH145_0127/LH198","NEH2_2014",100.4304967
"MO44_LH145_0127/LH198","NEH2_2014",140.3441023
"MO44_LH145_0127/LH198","NYH2_2014",149.2072412
"MO44_LH145_0127/LH198","NYH2_2014",208.2523653
"MO44_LH145_0127/LH198","WIH1_2014",261.3093059
"MO44_LH145_0127/LH198","WIH1_2014",252.1991184
"MO44_LH145_0143/LH198","IAH1a_2014",133.2158196
"MO44_LH145_0143/LH198","IAH1a_2014",180.1067701
"MO44_LH145_0143/LH198","IAH2_2014",166.8828197
"MO44_LH145_0143/LH198","IAH2_2014",188.9032433
"MO44_LH145_0143/LH198","IAH3_2014",167.3868429
"MO44_LH145_0143/LH198","IAH3_2014",181.2599373
"MO44_LH145_0143/LH198","ILH1_2014",183.4133225
"MO44_LH145_0143/LH198","ILH1_2014",209.9818189
"MO44_LH145_0143/LH198","NEH2_2014",111.8746624
"MO44_LH145_0143/LH198","NEH2_2014",89.55969661
"MO44_LH145_0143/LH198","NYH2_2014",170.8086563
"MO44_LH145_0143/LH198","NYH2_2014",192.0356819
"MO44_LH145_0143/LH198","WIH1_2014",231.5687243
"MO44_LH145_0143/LH198","WIH1_2014",162.2822152
"MO44_PHG47_0072/LH198","IAH1a_2014",163.1657834
"MO44_PHG47_0072/LH198","IAH1a_2014",153.1362185
"MO44_PHG47_0072/LH198","IAH2_2014",165.5245344
"MO44_PHG47_0072/LH198","IAH2_2014",145.3555894
"MO44_PHG47_0072/LH198","IAH3_2014",189.9996618
"MO44_PHG47_0072/LH198","IAH3_2014",163.9342727
"MO44_PHG47_0072/LH198","ILH1_2014",183.685487
"MO44_PHG47_0072/LH198","ILH1_2014",176.0241662
"MO44_PHG47_0072/LH198","NEH2_2014",117.5725482
"MO44_PHG47_0072/LH198","NEH2_2014",69.64760581
"MO44_PHG47_0072/LH198","NYH2_2014",158.9636762
"MO44_PHG47_0072/LH198","NYH2_2014",148.2163059
"MO44_PHG47_0072/LH198","WIH1_2014",132.2834539
"MO44_PHG47_0072/LH198","WIH1_2014",143.2868731
"MO44_PHW65_0075/LH198","IAH1a_2014",111.1153631
"MO44_PHW65_0075/LH198","IAH1a_2014",175.0453108
"MO44_PHW65_0075/LH198","IAH2_2014",152.5897421
"MO44_PHW65_0075/LH198","IAH2_2014",162.9958624
"MO44_PHW65_0075/LH198","IAH3_2014",168.7318075
"MO44_PHW65_0075/LH198","IAH3_2014",175.5361216
"MO44_PHW65_0075/LH198","ILH1_2014",199.4188477
"MO44_PHW65_0075/LH198","ILH1_2014",170.7977026
"MO44_PHW65_0075/LH198","NEH2_2014",118.6193348
"MO44_PHW65_0075/LH198","NEH2_2014",44.90872404
"MO44_PHW65_0075/LH198","NYH2_2014",178.718486
"MO44_PHW65_0075/LH198","NYH2_2014",149.0470671
"MO44_PHW65_0075/LH198","WIH1_2014",167.9315967
"MO44_PHW65_0075/LH198","WIH1_2014",232.8420679
"MOG_LH123HT-014-1-1-1-1-B/LH198","IAH1a_2014",177.4342772
"MOG_LH123HT-014-1-1-1-1-B/LH198","IAH1a_2014",192.628402
"MOG_LH123HT-014-1-1-1-1-B/LH198","IAH2_2014",189.7098538
"MOG_LH123HT-014-1-1-1-1-B/LH198","IAH2_2014",177.347638
"MOG_LH123HT-014-1-1-1-1-B/LH198","IAH3_2014",208.7877952
"MOG_LH123HT-014-1-1-1-1-B/LH198","IAH3_2014",167.1711114
"MOG_LH123HT-014-1-1-1-1-B/LH198","ILH1_2014",189.2721714
"MOG_LH123HT-014-1-1-1-1-B/LH198","ILH1_2014",197.4767692
"MOG_LH123HT-014-1-1-1-1-B/LH198","NEH2_2014",59.84042504
"MOG_LH123HT-014-1-1-1-1-B/LH198","NEH2_2014",110.4228378
"MOG_LH123HT-014-1-1-1-1-B/LH198","NYH2_2014",156.135666
"MOG_LH123HT-014-1-1-1-1-B/LH198","NYH2_2014",174.8107353
"MOG_LH123HT-014-1-1-1-1-B/LH198","WIH1_2014",215.9943694
"MOG_LH123HT-014-1-1-1-1-B/LH198","WIH1_2014",216.8130087
