"gen","env","yield"
"CG118/CGR01","COH1_2017",108.17
"CG118/CGR01","COH1_2017",64.38
"CG118/CGR01","IAH2_2016",133.3195592
"CG118/CGR01","IAH2_2016",126.4991789
"CG118/CGR01","IAH2_2017",164.38
"CG118/CGR01","IAH2_2017",162.18
"CG118/CGR01","IAH4_2016",151.4284417
"CG118/CGR01","IAH4_2016",158.6497176
"CG118/CGR01","IAH4_2017",166.98
"CG118/CGR01","IAH4_2017",125.96
"CG118/CGR01","MIH1_2016",169.1777609
"CG118/CGR01","MIH1_2016",157.6142931
"CG118/CGR01","MIH1_2017",119.94
"CG118/CGR01","MIH1_2017",166.51
"CG118/CGR01","MNH1_2016",121.434923
"CG118/CGR01","MNH1_2016",152.8751639
"CG118/CGR01","MNH1_2017",174.57
"CG118/CGR01","MNH1_2017",138.71
"CG118/CGR01","MNH1_2018",95.94
"CG118/CGR01","MNH1_2018",86.5
"CG118/CGR01","NYH1_2016",143.5482864
"CG118/CGR01","NYH1_2016",108.5514218
"CG118/CGR01","NYH1_2017",67.11
"CG118/CGR01","NYH1_2017",85.69
"CG118/CGR01","NYH2_2016",134.7293283
"CG118/CGR01","NYH2_2016",31.58069314
"CG118/CGR01","NYH2_2017",199.07
"CG118/CGR01","NYH2_2017",178.85
"CG118/CGR01","ONH1_2016",190.1394896
"CG118/CGR01","ONH1_2016",162.4423465
"CG118/CGR01","ONH1_2017",241.3
"CG118/CGR01","ONH1_2017",185.21
"CG118/CGR01","ONH2_2016",166.4710547
"CG118/CGR01","ONH2_2016",167.483229
"CG118/CGR01","ONH2_2017",49.28
"CG118/CGR01","ONH2_2017",80.12
"CG118/CGR01","WIH1_2016",114.9318448
"CG118/CGR01","WIH1_2016",131.9518807
"CG118/CGR01","WIH1_2017",154.2572308
"CG118/CGR01","WIH1_2017",183.5958766
"CG118/CGR01","WIH2_2016",85.72998305
"CG118/CGR01","WIH2_2016",146.6191673
"CG118/CGR01","WIH2_2017",148.1076822
"CG118/CGR01","WIH2_2017",166.7655418
"CG124/PHHV4","COH1_2017",72.16
"CG124/PHHV4","COH1_2017",107.56
"CG124/PHHV4","IAH2_2016",157.6404364
"CG124/PHHV4","IAH2_2016",128.1130714
"CG124/PHHV4","IAH2_2017",119.61
"CG124/PHHV4","IAH2_2017",118.07
"CG124/PHHV4","IAH4_2016",164.6196101
"CG124/PHHV4","IAH4_2016",179.8608232
"CG124/PHHV4","IAH4_2017",142.53
"CG124/PHHV4","IAH4_2017",134.98
"CG124/PHHV4","MIH1_2016",181.7567695
"CG124/PHHV4","MIH1_2016",164.4042035
"CG124/PHHV4","MIH1_2017",118.32
"CG124/PHHV4","MIH1_2017",176.62
"CG124/PHHV4","MNH1_2016",157.1358461
"CG124/PHHV4","MNH1_2016",161.7478402
"CG124/PHHV4","MNH1_2017",155.48
"CG124/PHHV4","MNH1_2017",154.18
"CG124/PHHV4","MNH1_2018",189.41
"CG124/PHHV4","MNH1_2018",189.41
"CG124/PHHV4","NYH1_2016",111.9149909
"CG124/PHHV4","NYH1_2016",82.82659675
"CG124/PHHV4","NYH1_2017",135.58
"CG124/PHHV4","NYH1_2017",125.42
"CG124/PHHV4","NYH2_2016",40.58007726
"CG124/PHHV4","NYH2_2016",97.60347151
"CG124/PHHV4","NYH2_2017",206.77
"CG124/PHHV4","NYH2_2017",176.76
"CG124/PHHV4","ONH1_2016",201.6598477
"CG124/PHHV4","ONH1_2016",224.1109457
"CG124/PHHV4","ONH1_2017",205.83
"CG124/PHHV4","ONH1_2017",156.57
"CG124/PHHV4","ONH2_2016",214.8069266
"CG124/PHHV4","ONH2_2016",183.5264175
"CG124/PHHV4","ONH2_2017",63.39
"CG124/PHHV4","ONH2_2017",82.76
"CG124/PHHV4","WIH1_2016",86.91287823
"CG124/PHHV4","WIH1_2016",146.5616335
"CG124/PHHV4","WIH1_2017",237.1064227
"CG124/PHHV4","WIH1_2017",205.3902705
"CG124/PHHV4","WIH2_2016",182.5586221
"CG124/PHHV4","WIH2_2016",157.7132205
"CG124/PHHV4","WIH2_2017",206.7600355
"CG124/PHHV4","WIH2_2017",169.2982849
"CG124/PHRE1","COH1_2017",63.04
"CG124/PHRE1","COH1_2017",69.09
"CG124/PHRE1","IAH2_2016",136.8605122
"CG124/PHRE1","IAH2_2016",150.9574009
"CG124/PHRE1","IAH2_2017",144.68
"CG124/PHRE1","IAH2_2017",131.04
