"gen","env","yield"
"CG118/CGR01","COH1_2017",108.17
"CG118/CGR01","COH1_2017",64.38
"CG118/CGR01","IAH2_2016",126.4991789
"CG118/CGR01","IAH2_2016",133.3195592
"CG118/CGR01","IAH2_2017",162.18
"CG118/CGR01","IAH2_2017",164.38
"CG118/CGR01","IAH4_2016",158.6497176
"CG118/CGR01","IAH4_2016",151.4284417
"CG118/CGR01","IAH4_2017",166.98
"CG118/CGR01","IAH4_2017",125.96
"CG118/CGR01","MIH1_2016",157.6142931
"CG118/CGR01","MIH1_2016",169.1777609
"CG118/CGR01","MIH1_2017",119.94
"CG118/CGR01","MIH1_2017",166.51
"CG118/CGR01","MNH1_2016",121.434923
"CG118/CGR01","MNH1_2016",152.8751639
"CG118/CGR01","MNH1_2017",138.71
"CG118/CGR01","MNH1_2017",174.57
"CG118/CGR01","NYH1_2016",143.5482864
"CG118/CGR01","NYH1_2016",108.5514218
"CG118/CGR01","NYH1_2017",67.11
"CG118/CGR01","NYH1_2017",85.69
"CG118/CGR01","NYH2_2016",31.58069314
"CG118/CGR01","NYH2_2016",134.7293283
"CG118/CGR01","NYH2_2017",199.07
"CG118/CGR01","NYH2_2017",178.85
"CG118/CGR01","ONH1_2016",190.1394896
"CG118/CGR01","ONH1_2016",162.4423465
"CG118/CGR01","ONH1_2017",185.21
"CG118/CGR01","ONH1_2017",241.3
"CG118/CGR01","ONH2_2016",166.4710547
"CG118/CGR01","ONH2_2016",167.483229
"CG118/CGR01","ONH2_2017",80.12
"CG118/CGR01","ONH2_2017",49.28
"CG118/CGR01","WIH1_2016",131.9518807
"CG118/CGR01","WIH1_2016",114.9318448
"CG118/CGR01","WIH1_2017",154.2572308
"CG118/CGR01","WIH1_2017",183.5958766
"CG118/CGR01","WIH2_2016",85.72998305
"CG118/CGR01","WIH2_2016",146.6191673
"CG118/CGR01","WIH2_2017",166.7655418
"CG118/CGR01","WIH2_2017",148.1076822
"CG120/PHZ51","COH1_2017",77.32
"CG120/PHZ51","COH1_2017",107.11
"CG120/PHZ51","IAH2_2016",145.5278659
"CG120/PHZ51","IAH2_2016",133.0938425
"CG120/PHZ51","IAH2_2017",146.38
"CG120/PHZ51","IAH2_2017",126.71
"CG120/PHZ51","IAH4_2016",141.0366385
"CG120/PHZ51","IAH4_2016",184.9624614
"CG120/PHZ51","IAH4_2017",103.13
"CG120/PHZ51","IAH4_2017",124.43
"CG120/PHZ51","MIH1_2016",172.7258941
"CG120/PHZ51","MIH1_2016",163.8423052
"CG120/PHZ51","MIH1_2017",110.84
"CG120/PHZ51","MIH1_2017",123.76
"CG120/PHZ51","MNH1_2016",177.8176407
"CG120/PHZ51","MNH1_2016",190.3092146
"CG120/PHZ51","MNH1_2017",98.93
"CG120/PHZ51","MNH1_2017",120.61
"CG120/PHZ51","NYH1_2016",101.8958227
"CG120/PHZ51","NYH1_2016",92.36953841
"CG120/PHZ51","NYH1_2017",88.45
"CG120/PHZ51","NYH1_2017",55.68
"CG120/PHZ51","NYH2_2016",19.58034536
"CG120/PHZ51","NYH2_2016",80.40373284
"CG120/PHZ51","NYH2_2017",147.48
"CG120/PHZ51","NYH2_2017",119.25
"CG120/PHZ51","ONH1_2016",181.5084972
"CG120/PHZ51","ONH1_2016",184.9896528
"CG120/PHZ51","ONH1_2017",105.91
"CG120/PHZ51","ONH1_2017",121.8
"CG120/PHZ51","ONH2_2016",166.6436956
"CG120/PHZ51","ONH2_2016",95.52375022
"CG120/PHZ51","ONH2_2017",60.06
"CG120/PHZ51","ONH2_2017",53.07
"CG120/PHZ51","WIH1_2016",164.5098816
"CG120/PHZ51","WIH1_2016",153.1780219
"CG120/PHZ51","WIH1_2017",136.2260921
"CG120/PHZ51","WIH1_2017",130.8418478
"CG120/PHZ51","WIH2_2016",144.8195096
"CG120/PHZ51","WIH2_2016",163.3776161
"CG120/PHZ51","WIH2_2017",121.2680541
"CG120/PHZ51","WIH2_2017",122.2478445
"CG124/PHHV4","COH1_2017",107.56
"CG124/PHHV4","COH1_2017",72.16
"CG124/PHHV4","IAH2_2016",157.6404364
"CG124/PHHV4","IAH2_2016",128.1130714
"CG124/PHHV4","IAH2_2017",118.07
"CG124/PHHV4","IAH2_2017",119.61
"CG124/PHHV4","IAH4_2016",164.6196101
"CG124/PHHV4","IAH4_2016",179.8608232
"CG124/PHHV4","IAH4_2017",134.98
"CG124/PHHV4","IAH4_2017",142.53
