"gen","env","yield"
"LH195/LH210","IAH1_2016",119.8780037
"LH195/LH210","IAH1_2016",151.7737366
"LH195/LH210","IAH3_2016",189.2617561
"LH195/LH210","IAH3_2016",212.0031691
"LH195/NK787","IAH1_2016",94.75772861
"LH195/NK787","IAH1_2016",193.124162
"LH195/NK787","IAH3_2016",188.0794133
"LH195/NK787","IAH3_2016",137.7166153
"LH195/PH463","IAH1_2016",153.7841981
"LH195/PH463","IAH1_2016",113.0228269
"LH195/PH463","IAH3_2016",141.1601751
"LH195/PH463","IAH3_2016",190.122554
"LH195/PHJ65","IAH1_2016",100.2883389
"LH195/PHJ65","IAH1_2016",113.6614983
"LH195/PHJ65","IAH3_2016",128.1705131
"LH195/PHJ65","IAH3_2016",137.5909615
"LH195/PHM49","IAH1_2016",220.3907705
"LH195/PHM49","IAH1_2016",120.7808703
"LH195/PHM49","IAH3_2016",170.7848413
"LH195/PHM49","IAH3_2016",117.0133721
"LH195/PHN47","IAH1_2016",139.0027952
"LH195/PHN47","IAH1_2016",166.4943839
"LH195/PHN47","IAH3_2016",184.17724
"LH195/PHN47","IAH3_2016",173.7268904
"LH195/PHP60","IAH1_2016",141.7600916
"LH195/PHP60","IAH1_2016",169.7818199
"LH195/PHP60","IAH3_2016",188.7208462
"LH195/PHP60","IAH3_2016",118.3300219
"LH195/PHR03","IAH1_2016",116.8000828
"LH195/PHR03","IAH1_2016",146.6863668
"LH195/PHR03","IAH3_2016",216.2774251
"LH195/PHR03","IAH3_2016",149.5296418
"LH195/PHW30","IAH1_2016",162.552075
"LH195/PHW30","IAH1_2016",146.7693996
"LH195/PHW30","IAH3_2016",192.6440999
"LH195/PHW30","IAH3_2016",163.4438951
"LH195/PHW53","IAH1_2016",160.9020973
"LH195/PHW53","IAH1_2016",165.9326697
"LH195/PHW53","IAH3_2016",184.1406024
"LH195/PHW53","IAH3_2016",168.0350933
"PHHB9/LH123HT","IAH1_2016",169.0295538
"PHHB9/LH123HT","IAH1_2016",150.7047124
"PHHB9/LH123HT","IAH3_2016",77.71676573
"PHHB9/LH123HT","IAH3_2016",159.6722545
"PHHB9/LH210","IAH1_2016",173.208994
"PHHB9/LH210","IAH1_2016",141.8074995
"PHHB9/LH210","IAH3_2016",153.7961652
"PHHB9/LH210","IAH3_2016",123.5331958
"PHHB9/NK787","IAH1_2016",168.2469098
"PHHB9/NK787","IAH1_2016",98.25560029
"PHHB9/NK787","IAH3_2016",160.5309352
"PHHB9/NK787","IAH3_2016",217.2492402
"PHHB9/PHJ65","IAH1_2016",118.8061257
"PHHB9/PHJ65","IAH1_2016",157.2504953
"PHHB9/PHJ65","IAH3_2016",152.6615984
"PHHB9/PHJ65","IAH3_2016",118.8422109
"PHHB9/PHM49","IAH1_2016",192.2347353
"PHHB9/PHM49","IAH1_2016",171.614617
"PHHB9/PHM49","IAH3_2016",123.3381332
"PHHB9/PHM49","IAH3_2016",154.3840227
"PHHB9/PHN47","IAH1_2016",160.6334834
"PHHB9/PHN47","IAH1_2016",138.8436337
"PHHB9/PHN47","IAH3_2016",118.1478469
"PHHB9/PHN47","IAH3_2016",175.1885254
"PHHB9/PHN82","IAH1_2016",113.7063286
"PHHB9/PHN82","IAH1_2016",131.2459485
"PHHB9/PHN82","IAH3_2016",166.7593156
"PHHB9/PHN82","IAH3_2016",136.5545244
"PHHB9/PHP60","IAH1_2016",188.8477888
"PHHB9/PHP60","IAH1_2016",187.7517007
"PHHB9/PHP60","IAH3_2016",194.199538
"PHHB9/PHP60","IAH3_2016",179.5179217
"PHHB9/PHR03","IAH1_2016",164.8187231
"PHHB9/PHR03","IAH1_2016",155.4325189
"PHHB9/PHR03","IAH3_2016",178.3809615
"PHHB9/PHR03","IAH3_2016",161.6447898
"PHHB9/PHR55","IAH1_2016",159.9304663
"PHHB9/PHR55","IAH1_2016",168.8040212
"PHHB9/PHR55","IAH3_2016",165.4411008
"PHHB9/PHR55","IAH3_2016",160.7660413
"PHHB9/PHR63","IAH1_2016",131.3887244
"PHHB9/PHR63","IAH1_2016",165.6620307
"PHHB9/PHR63","IAH3_2016",157.2600689
"PHHB9/PHR63","IAH3_2016",190.3973355
"PHHB9/PHW30","IAH1_2016",158.9598478
"PHHB9/PHW30","IAH1_2016",199.8973186
"PHHB9/PHW30","IAH3_2016",142.7545521
"PHHB9/PHW30","IAH3_2016",163.5071363
"PHHB9/PHW53","IAH1_2016",166.843453
"PHHB9/PHW53","IAH1_2016",160.7905277
"PHHB9/PHW53","IAH3_2016",170.3797112
"PHHB9/PHW53","IAH3_2016",132.1924488
"PHHB9/PHZ51","IAH1_2016",159.5827779
"PHHB9/PHZ51","IAH1_2016",173.7361878
"PHHB9/PHZ51","IAH3_2016",95.8062248
"PHHB9/PHZ51","IAH3_2016",223.4572766
"PHHB9/Q381","IAH1_2016",111.2591624
"PHHB9/Q381","IAH1_2016",110.3783888
"PHHB9/Q381","IAH3_2016",166.0151502
"PHHB9/Q381","IAH3_2016",108.3200591
"PHP38/LH123HT","IAH1_2016",72.39705136
"PHP38/LH123HT","IAH1_2016",165.5854417
"PHP38/LH123HT","IAH3_2016",216.1447751
"PHP38/LH123HT","IAH3_2016",223.0065798
"PHP38/LH185","IAH1_2016",162.1116882
"PHP38/LH185","IAH1_2016",155.9922998
"PHP38/LH185","IAH3_2016",165.0842992
"PHP38/LH185","IAH3_2016",173.9454268
"PHP38/LH210","IAH1_2016",132.5815615
"PHP38/LH210","IAH1_2016",154.0157142
"PHP38/LH210","IAH3_2016",173.2042992
"PHP38/LH210","IAH3_2016",178.2931419
