"gen","yield","env"
"PHN11_PHW65_0328/PHT69",178.14,"IAH4_2018"
"PHN11_PHW65_0328/PHT69",166.03,"IAH4_2018"
"PHN11_PHW65_0328/PHT69",132.24,"MNH1_2018"
"PHN11_PHW65_0328/PHT69",132.24,"MNH1_2018"
"PHN11_PHW65_0328/PHT69",136.9,"MOH1_2018"
"PHN11_PHW65_0328/PHT69",101.8,"MOH1_2018"
"PHN11_PHW65_0328/PHT69",140.53,"NYH2_2018"
"PHN11_PHW65_0328/PHT69",155.03,"NYH2_2018"
"PHN11_PHW65_0328/PHT69",244.93,"WIH1_2018"
"PHN11_PHW65_0328/PHT69",218.77,"WIH1_2018"
"PHN11_PHW65_0328/PHT69",248.67,"WIH2_2018"
"PHN11_PHW65_0328/PHT69",112.74,"WIH2_2018"
"PHW65_MOG_0036/PHT69",168.06,"IAH4_2018"
"PHW65_MOG_0036/PHT69",156.62,"IAH4_2018"
"PHW65_MOG_0036/PHT69",77.44,"MNH1_2018"
"PHW65_MOG_0036/PHT69",77.44,"MNH1_2018"
"PHW65_MOG_0036/PHT69",127.1,"MOH1_2018"
"PHW65_MOG_0036/PHT69",117.7,"MOH1_2018"
"PHW65_MOG_0036/PHT69",171.56,"NYH2_2018"
"PHW65_MOG_0036/PHT69",176.7,"NYH2_2018"
"PHW65_MOG_0036/PHT69",130.53,"WIH1_2018"
"PHW65_MOG_0036/PHT69",167.44,"WIH1_2018"
"PHW65_MOG_0036/PHT69",198.09,"WIH2_2018"
"PHW65_MOG_0036/PHT69",84.87,"WIH2_2018"
"PHW65_MOG_0041/PHT69",181.58,"IAH4_2018"
"PHW65_MOG_0041/PHT69",186.66,"IAH4_2018"
"PHW65_MOG_0041/PHT69",52.35,"MNH1_2018"
"PHW65_MOG_0041/PHT69",72.14,"MNH1_2018"
"PHW65_MOG_0041/PHT69",158.09,"MOH1_2018"
"PHW65_MOG_0041/PHT69",118.68,"MOH1_2018"
"PHW65_MOG_0041/PHT69",174.48,"NYH2_2018"
"PHW65_MOG_0041/PHT69",251.75,"NYH2_2018"
"PHW65_MOG_0041/PHT69",168.53,"WIH1_2018"
"PHW65_MOG_0041/PHT69",188.33,"WIH1_2018"
"PHW65_MOG_0041/PHT69",124.99,"WIH2_2018"
"PHW65_MOG_0041/PHT69",143.58,"WIH2_2018"
"PHW65_MOG_0050/PHT69",190.22,"IAH4_2018"
"PHW65_MOG_0050/PHT69",196.04,"IAH4_2018"
"PHW65_MOG_0050/PHT69",77.47,"MNH1_2018"
"PHW65_MOG_0050/PHT69",77.47,"MNH1_2018"
"PHW65_MOG_0050/PHT69",140.42,"MOH1_2018"
"PHW65_MOG_0050/PHT69",124.57,"MOH1_2018"
"PHW65_MOG_0050/PHT69",161.62,"NYH2_2018"
"PHW65_MOG_0050/PHT69",138.61,"NYH2_2018"
"PHW65_MOG_0050/PHT69",189.9,"WIH1_2018"
"PHW65_MOG_0050/PHT69",187.93,"WIH1_2018"
"PHW65_MOG_0050/PHT69",62.46,"WIH2_2018"
"PHW65_MOG_0050/PHT69",169.71,"WIH2_2018"
"PHW65_MOG_0057/PHT69",183.89,"IAH4_2018"
"PHW65_MOG_0057/PHT69",208.7,"IAH4_2018"
"PHW65_MOG_0057/PHT69",77.22,"MNH1_2018"
"PHW65_MOG_0057/PHT69",97.6,"MNH1_2018"
"PHW65_MOG_0057/PHT69",132,"MOH1_2018"
"PHW65_MOG_0057/PHT69",107.11,"MOH1_2018"
"PHW65_MOG_0057/PHT69",156.38,"NYH2_2018"
"PHW65_MOG_0057/PHT69",126.22,"NYH2_2018"
"PHW65_MOG_0057/PHT69",183.11,"WIH1_2018"
"PHW65_MOG_0057/PHT69",200.36,"WIH1_2018"
"PHW65_MOG_0057/PHT69",126.44,"WIH2_2018"
"PHW65_MOG_0057/PHT69",136.47,"WIH2_2018"
"PHW65_MOG_0060/PHT69",193.82,"IAH4_2018"
"PHW65_MOG_0060/PHT69",221.81,"IAH4_2018"
"PHW65_MOG_0060/PHT69",60.3,"MNH1_2018"
"PHW65_MOG_0060/PHT69",62.97,"MNH1_2018"
"PHW65_MOG_0060/PHT69",132.72,"MOH1_2018"
"PHW65_MOG_0060/PHT69",73.23,"MOH1_2018"
"PHW65_MOG_0060/PHT69",145.91,"NYH2_2018"
"PHW65_MOG_0060/PHT69",135.04,"NYH2_2018"
"PHW65_MOG_0060/PHT69",179.24,"WIH1_2018"
"PHW65_MOG_0060/PHT69",183.49,"WIH1_2018"
"PHW65_MOG_0060/PHT69",178.56,"WIH2_2018"
"PHW65_MOG_0060/PHT69",169.81,"WIH2_2018"
"PHW65_MOG_0072/PHT69",179.76,"IAH4_2018"
"PHW65_MOG_0072/PHT69",219.85,"IAH4_2018"
"PHW65_MOG_0072/PHT69",116.71,"MNH1_2018"
"PHW65_MOG_0072/PHT69",113.2,"MNH1_2018"
"PHW65_MOG_0072/PHT69",116.41,"MOH1_2018"
"PHW65_MOG_0072/PHT69",125.2,"MOH1_2018"
"PHW65_MOG_0072/PHT69",180.67,"NYH2_2018"
"PHW65_MOG_0072/PHT69",70.77,"NYH2_2018"
"PHW65_MOG_0072/PHT69",214.08,"WIH1_2018"
"PHW65_MOG_0072/PHT69",198.05,"WIH1_2018"
"PHW65_MOG_0072/PHT69",158.98,"WIH2_2018"
"PHW65_MOG_0072/PHT69",78.6,"WIH2_2018"
"PHW65_MOG_0109/PHT69",182.72,"IAH4_2018"
"PHW65_MOG_0109/PHT69",153.44,"IAH4_2018"
"PHW65_MOG_0109/PHT69",88.55,"MNH1_2018"
"PHW65_MOG_0109/PHT69",108.54,"MNH1_2018"
"PHW65_MOG_0109/PHT69",117.45,"MOH1_2018"
"PHW65_MOG_0109/PHT69",128.07,"MOH1_2018"
"PHW65_MOG_0109/PHT69",156.08,"NYH2_2018"
"PHW65_MOG_0109/PHT69",103.78,"NYH2_2018"
"PHW65_MOG_0109/PHT69",141.5,"WIH1_2018"
"PHW65_MOG_0109/PHT69",165.62,"WIH1_2018"
"PHW65_MOG_0109/PHT69",120.56,"WIH2_2018"
"PHW65_MOG_0109/PHT69",124.41,"WIH2_2018"
"PHW65_MOG_0116/PHT69",222.74,"IAH4_2018"
"PHW65_MOG_0116/PHT69",217.77,"IAH4_2018"
"PHW65_MOG_0116/PHT69",103.37,"MNH1_2018"
"PHW65_MOG_0116/PHT69",85.08,"MNH1_2018"
"PHW65_MOG_0116/PHT69",116.08,"MOH1_2018"
"PHW65_MOG_0116/PHT69",133.07,"MOH1_2018"
"PHW65_MOG_0116/PHT69",184.23,"NYH2_2018"
"PHW65_MOG_0116/PHT69",150.49,"NYH2_2018"
"PHW65_MOG_0116/PHT69",133.63,"WIH1_2018"
"PHW65_MOG_0116/PHT69",141.88,"WIH1_2018"
"PHW65_MOG_0116/PHT69",71.22,"WIH2_2018"
"PHW65_MOG_0116/PHT69",160.47,"WIH2_2018"
"PHW65_MOG_0117/PHT69",172.41,"IAH4_2018"
"PHW65_MOG_0117/PHT69",176.66,"IAH4_2018"
"PHW65_MOG_0117/PHT69",59.44,"MNH1_2018"
"PHW65_MOG_0117/PHT69",90.62,"MNH1_2018"
"PHW65_MOG_0117/PHT69",129.51,"MOH1_2018"
"PHW65_MOG_0117/PHT69",169.63,"MOH1_2018"
"PHW65_MOG_0117/PHT69",178.99,"NYH2_2018"
"PHW65_MOG_0117/PHT69",134.95,"NYH2_2018"
"PHW65_MOG_0117/PHT69",118,"WIH1_2018"
"PHW65_MOG_0117/PHT69",173.08,"WIH1_2018"
"PHW65_MOG_0117/PHT69",101.82,"WIH2_2018"
"PHW65_MOG_0117/PHT69",145.8,"WIH2_2018"
"PHW65_MOG_0121/PHT69",198.24,"IAH4_2018"
"PHW65_MOG_0121/PHT69",216.81,"IAH4_2018"
"PHW65_MOG_0121/PHT69",128.66,"MNH1_2018"
"PHW65_MOG_0121/PHT69",86.14,"MNH1_2018"
"PHW65_MOG_0121/PHT69",93.85,"MOH1_2018"
