"gen","yield","env"
"PHW65_MOG_0122/PHT69",237.55955746261,"GEH1_2019"
"PHW65_MOG_0122/PHT69",222.043658283193,"GEH1_2019"
"PHW65_MOG_0122/PHT69",163.49,"IAH4_2018"
"PHW65_MOG_0122/PHT69",198.07,"IAH4_2018"
"PHW65_MOG_0122/PHT69",86.78,"MNH1_2018"
"PHW65_MOG_0122/PHT69",95.3,"MNH1_2018"
"PHW65_MOG_0122/PHT69",94.04,"MOH1_2018"
"PHW65_MOG_0122/PHT69",151.42,"MOH1_2018"
"PHW65_MOG_0122/PHT69",166.828264158918,"NYH1_2019"
"PHW65_MOG_0122/PHT69",168.075367075232,"NYH1_2019"
"PHW65_MOG_0122/PHT69",151.1,"NYH2_2018"
"PHW65_MOG_0122/PHT69",192.48,"NYH2_2018"
"PHW65_MOG_0122/PHT69",192.07,"WIH1_2018"
"PHW65_MOG_0122/PHT69",148.12,"WIH1_2018"
"PHW65_MOG_0122/PHT69",164.68,"WIH2_2018"
"PHW65_MOG_0122/PHT69",198.72,"WIH2_2018"
"PHW65_MOG_0122/PHT69",148.650433136095,"WIH2_2019"
"PHW65_MOG_0122/PHT69",154.357234995773,"WIH2_2019"
"PHW65_MOG_0179/PHT69",216.614616977085,"GEH1_2019"
"PHW65_MOG_0179/PHT69",203.570448942391,"GEH1_2019"
"PHW65_MOG_0179/PHT69",195.31,"IAH4_2018"
"PHW65_MOG_0179/PHT69",172.51,"IAH4_2018"
"PHW65_MOG_0179/PHT69",77.23,"MNH1_2018"
"PHW65_MOG_0179/PHT69",77.23,"MNH1_2018"
"PHW65_MOG_0179/PHT69",95.9,"MOH1_2018"
"PHW65_MOG_0179/PHT69",137.75,"MOH1_2018"
"PHW65_MOG_0179/PHT69",163.548146449704,"NYH1_2019"
"PHW65_MOG_0179/PHT69",136.94888419273,"NYH1_2019"
"PHW65_MOG_0179/PHT69",131.74,"NYH2_2018"
"PHW65_MOG_0179/PHT69",128.73,"NYH2_2018"
"PHW65_MOG_0179/PHT69",190.67,"WIH1_2018"
"PHW65_MOG_0179/PHT69",131.26,"WIH1_2018"
"PHW65_MOG_0179/PHT69",103.08,"WIH2_2018"
"PHW65_MOG_0179/PHT69",39.55,"WIH2_2018"
"PHW65_MOG_0179/PHT69",157.058562552832,"WIH2_2019"
"PHW65_MOG_0179/PHT69",69.6619399830938,"WIH2_2019"
"PHW65_MOG_0266/PHT69",257.826780070585,"GEH1_2019"
"PHW65_MOG_0266/PHT69",240.520415109042,"GEH1_2019"
"PHW65_MOG_0266/PHT69",170.92,"IAH4_2018"
"PHW65_MOG_0266/PHT69",160.64,"IAH4_2018"
"PHW65_MOG_0266/PHT69",108.86,"MNH1_2018"
"PHW65_MOG_0266/PHT69",116.16,"MNH1_2018"
"PHW65_MOG_0266/PHT69",179.43,"MOH1_2018"
"PHW65_MOG_0266/PHT69",145.03,"MOH1_2018"
"PHW65_MOG_0266/PHT69",150.438722104818,"NYH1_2019"
"PHW65_MOG_0266/PHT69",192.384093195266,"NYH1_2019"
"PHW65_MOG_0266/PHT69",181.54,"NYH2_2018"
"PHW65_MOG_0266/PHT69",82.77,"NYH2_2018"
"PHW65_MOG_0266/PHT69",162.83,"WIH1_2018"
"PHW65_MOG_0266/PHT69",194.84,"WIH1_2018"
"PHW65_MOG_0266/PHT69",115.78,"WIH2_2018"
"PHW65_MOG_0266/PHT69",137.09,"WIH2_2018"
"PHW65_MOG_0266/PHT69",122.16757328825,"WIH2_2019"
"PHW65_MOG_0266/PHT69",136.084772358411,"WIH2_2019"
"PHW65_MOG_0293/PHT69",200.918577172442,"GEH1_2019"
"PHW65_MOG_0293/PHT69",180.304947050297,"GEH1_2019"
"PHW65_MOG_0293/PHT69",169.22,"IAH4_2018"
"PHW65_MOG_0293/PHT69",167.72,"IAH4_2018"
"PHW65_MOG_0293/PHT69",105.83,"MNH1_2018"
"PHW65_MOG_0293/PHT69",55.8,"MNH1_2018"
"PHW65_MOG_0293/PHT69",122.43,"MOH1_2018"
"PHW65_MOG_0293/PHT69",153.2,"MOH1_2018"
"PHW65_MOG_0293/PHT69",184.874089602705,"NYH1_2019"
"PHW65_MOG_0293/PHT69",126.495450760778,"NYH1_2019"
"PHW65_MOG_0293/PHT69",107.1,"NYH2_2018"
"PHW65_MOG_0293/PHT69",103.03,"NYH2_2018"
"PHW65_MOG_0293/PHT69",187.15,"WIH1_2018"
"PHW65_MOG_0293/PHT69",190.86,"WIH1_2018"
"PHW65_MOG_0293/PHT69",161.69,"WIH2_2018"
"PHW65_MOG_0293/PHT69",110.41,"WIH2_2018"
"PHW65_MOG_0293/PHT69",124.492491631445,"WIH2_2019"
"PHW65_MOG_0293/PHT69",101.954334065934,"WIH2_2019"
