"gen","yield","env"
"B14A/MO17",56.03,"IAH2_2018"
"B14A/MO17",44.05,"IAH2_2018"
"B14A/MO17",60.54,"IAH3_2018"
"B14A/MO17",26.66,"IAH3_2018"
"B14A/MO17",30.55,"IAH4_2018"
"B14A/MO17",23.4,"IAH4_2018"
"MO44_PHW65_0009/LH195",241.24,"IAH2_2018"
"MO44_PHW65_0009/LH195",229.66,"IAH2_2018"
"MO44_PHW65_0009/LH195",225.72,"IAH3_2018"
"MO44_PHW65_0009/LH195",266.81,"IAH3_2018"
"MO44_PHW65_0009/LH195",240.6,"IAH4_2018"
"MO44_PHW65_0009/LH195",169.71,"IAH4_2018"
"MO44_PHW65_0017/LH195",239.51,"IAH2_2018"
"MO44_PHW65_0017/LH195",213.72,"IAH2_2018"
"MO44_PHW65_0017/LH195",256.52,"IAH3_2018"
"MO44_PHW65_0017/LH195",233.29,"IAH3_2018"
"MO44_PHW65_0017/LH195",194.97,"IAH4_2018"
"MO44_PHW65_0017/LH195",201.9,"IAH4_2018"
"MO44_PHW65_0031/LH195",212.99,"IAH2_2018"
"MO44_PHW65_0031/LH195",231.49,"IAH2_2018"
"MO44_PHW65_0031/LH195",225.25,"IAH3_2018"
"MO44_PHW65_0031/LH195",226.94,"IAH3_2018"
"MO44_PHW65_0031/LH195",198.14,"IAH4_2018"
"MO44_PHW65_0031/LH195",206.64,"IAH4_2018"
"MO44_PHW65_0034/LH195",185.6,"IAH2_2018"
"MO44_PHW65_0034/LH195",208.33,"IAH2_2018"
"MO44_PHW65_0034/LH195",227.48,"IAH3_2018"
"MO44_PHW65_0034/LH195",238.63,"IAH3_2018"
"MO44_PHW65_0034/LH195",167.42,"IAH4_2018"
"MO44_PHW65_0034/LH195",177.95,"IAH4_2018"
"MO44_PHW65_0035/LH195",126.26,"IAH2_2018"
"MO44_PHW65_0035/LH195",166.84,"IAH2_2018"
"MO44_PHW65_0035/LH195",209.74,"IAH3_2018"
"MO44_PHW65_0035/LH195",187.19,"IAH3_2018"
"MO44_PHW65_0035/LH195",139.85,"IAH4_2018"
"MO44_PHW65_0035/LH195",171.53,"IAH4_2018"
"MO44_PHW65_0052/LH195",162.33,"IAH2_2018"
"MO44_PHW65_0052/LH195",179.19,"IAH2_2018"
"MO44_PHW65_0052/LH195",214.72,"IAH3_2018"
"MO44_PHW65_0052/LH195",251.29,"IAH3_2018"
"MO44_PHW65_0052/LH195",210.38,"IAH4_2018"
"MO44_PHW65_0052/LH195",201.55,"IAH4_2018"
"MO44_PHW65_0063/LH195",184.87,"IAH2_2018"
"MO44_PHW65_0063/LH195",193.35,"IAH2_2018"
"MO44_PHW65_0063/LH195",203.41,"IAH3_2018"
"MO44_PHW65_0063/LH195",191.69,"IAH3_2018"
"MO44_PHW65_0063/LH195",194.7,"IAH4_2018"
"MO44_PHW65_0063/LH195",196.45,"IAH4_2018"
"MO44_PHW65_0068/LH195",212.82,"IAH2_2018"
"MO44_PHW65_0068/LH195",202.57,"IAH2_2018"
"MO44_PHW65_0068/LH195",223.77,"IAH3_2018"
"MO44_PHW65_0068/LH195",211.25,"IAH3_2018"
"MO44_PHW65_0068/LH195",166.23,"IAH4_2018"
"MO44_PHW65_0068/LH195",147.47,"IAH4_2018"
"MO44_PHW65_0074/LH195",187.96,"IAH2_2018"
"MO44_PHW65_0074/LH195",207.72,"IAH2_2018"
"MO44_PHW65_0074/LH195",244.64,"IAH3_2018"
"MO44_PHW65_0074/LH195",209.43,"IAH3_2018"
"MO44_PHW65_0074/LH195",181.97,"IAH4_2018"
"MO44_PHW65_0074/LH195",171.16,"IAH4_2018"
"MO44_PHW65_0083/LH195",199.76,"IAH2_2018"
"MO44_PHW65_0083/LH195",206.79,"IAH2_2018"
"MO44_PHW65_0083/LH195",228.02,"IAH3_2018"
"MO44_PHW65_0083/LH195",239.73,"IAH3_2018"
"MO44_PHW65_0083/LH195",191.07,"IAH4_2018"
"MO44_PHW65_0083/LH195",209.72,"IAH4_2018"
"MO44_PHW65_0084/LH195",192.14,"IAH2_2018"
"MO44_PHW65_0084/LH195",192.5,"IAH2_2018"
"MO44_PHW65_0084/LH195",234.83,"IAH3_2018"
"MO44_PHW65_0084/LH195",246.84,"IAH3_2018"
"MO44_PHW65_0084/LH195",172.86,"IAH4_2018"
"MO44_PHW65_0084/LH195",183.18,"IAH4_2018"
"MO44_PHW65_0092/LH195",218.91,"IAH2_2018"
"MO44_PHW65_0092/LH195",260.73,"IAH2_2018"
"MO44_PHW65_0092/LH195",268.3,"IAH3_2018"
