"gen","env","yield"
"2369/LH123HT","DEH1_2020",150.293660185968
"2369/LH123HT","DEH1_2020",135.194333051564
"2369/LH123HT","DEH1_2021",170.57
"2369/LH123HT","DEH1_2021",214.63
"2369/LH123HT","DEH1_2022",226.89
"2369/LH123HT","DEH1_2022",228.94
"2369/LH123HT","GAH1_2020",173.855316145393
"2369/LH123HT","GAH1_2020",185.758854513008
"2369/LH123HT","GAH1_2021",183.63
"2369/LH123HT","GAH1_2021",163.75
"2369/LH123HT","GAH1_2022",144.95
"2369/LH123HT","GAH1_2022",114.85
"2369/LH123HT","GAH2_2020",200.545563651733
"2369/LH123HT","GAH2_2020",143.870708114962
"2369/LH123HT","GAH2_2021",190.36
"2369/LH123HT","GAH2_2021",186.75
"2369/LH123HT","GAH2_2022",163.34
"2369/LH123HT","GAH2_2022",103.03
"2369/LH123HT","GEH1_2020",187.548940381108
"2369/LH123HT","GEH1_2020",127.660433762062
"2369/LH123HT","GEH1_2021",160.15
"2369/LH123HT","GEH1_2021",199.68
"2369/LH123HT","GEH1_2022",40.94
"2369/LH123HT","GEH1_2022",29.57
"2369/LH123HT","IAH1_2020",224.628730926217
"2369/LH123HT","IAH1_2020",225.779985798817
"2369/LH123HT","IAH1_2021",207.07
"2369/LH123HT","IAH1_2021",204.17
"2369/LH123HT","IAH1_2022",190.64
"2369/LH123HT","IAH1_2022",202.02
"2369/LH123HT","IAH2_2021",245.14
"2369/LH123HT","IAH2_2021",205.55
"2369/LH123HT","IAH2_2022",254.28
"2369/LH123HT","IAH2_2022",201.79
"2369/LH123HT","IAH3_2021",207.31
"2369/LH123HT","IAH3_2021",210.58
"2369/LH123HT","IAH3_2022",230.94
"2369/LH123HT","IAH3_2022",227.77
"2369/LH123HT","IAH4_2021",183.16
"2369/LH123HT","IAH4_2021",181.53
"2369/LH123HT","IAH4_2022",217.12
"2369/LH123HT","IAH4_2022",211.7
"2369/LH123HT","ILH1_2021",214.91
"2369/LH123HT","ILH1_2021",250.08
"2369/LH123HT","ILH1_2022",175.41
"2369/LH123HT","ILH1_2022",145.21
"2369/LH123HT","INH1_2020",241.018682840237
"2369/LH123HT","INH1_2020",199.229140929839
"2369/LH123HT","INH1_2021",187.74
"2369/LH123HT","INH1_2021",199.57
"2369/LH123HT","INH1_2022",167.11
"2369/LH123HT","INH1_2022",162.61
"2369/LH123HT","MIH1_2020",170.581686390533
"2369/LH123HT","MIH1_2020",139.932692307692
"2369/LH123HT","MIH1_2021",207.92
"2369/LH123HT","MIH1_2021",193.5
"2369/LH123HT","MIH1_2022",174.21
"2369/LH123HT","MIH1_2022",153.22
"2369/LH123HT","MNH1_2020",182.026103127642
"2369/LH123HT","MNH1_2020",173.044551986475
"2369/LH123HT","MNH1_2021",193.06
"2369/LH123HT","MNH1_2021",206.85
"2369/LH123HT","MNH1_2022",182.52
"2369/LH123HT","MNH1_2022",216.31
"2369/LH123HT","MOH1_2020",112.2693966486
"2369/LH123HT","MOH1_2020",150.092585152404
"2369/LH123HT","MOH2_2022",71.37
"2369/LH123HT","MOH2_2022",75.58
"2369/LH123HT","NCH1_2020",85.8011158072696
"2369/LH123HT","NCH1_2020",67.8620792003381
"2369/LH123HT","NCH1_2021",139.59
"2369/LH123HT","NCH1_2021",180.61
"2369/LH123HT","NCH1_2022",162.62
"2369/LH123HT","NCH1_2022",147.91
"2369/LH123HT","NEH1_2020",152.248305425967
"2369/LH123HT","NEH1_2020",103.616393228393
"2369/LH123HT","NEH1_2021",17.64
"2369/LH123HT","NEH1_2021",9.65
"2369/LH123HT","NEH1_2022",86.35
"2369/LH123HT","NEH1_2022",112.86
"2369/LH123HT","NEH2_2020",141.147655790364
"2369/LH123HT","NEH2_2020",147.00483424185
"2369/LH123HT","NEH2_2021",199.85
"2369/LH123HT","NEH2_2021",220.18
"2369/LH123HT","NEH2_2022",56.27
"2369/LH123HT","NEH2_2022",76.8
"2369/LH123HT","NEH3_2020",201.826314829453
"2369/LH123HT","NEH3_2020",210.165281761897
"2369/LH123HT","NEH3_2021",215.44
"2369/LH123HT","NEH3_2021",263.38
"2369/LH123HT","NEH3_2022",170.21
"2369/LH123HT","NEH3_2022",225.53
"2369/LH123HT","NYH2_2020",186.504341408043
"2369/LH123HT","NYH2_2020",185.566336432798
"2369/LH123HT","NYH2_2021",208.86
"2369/LH123HT","NYH2_2021",193.27
"2369/LH123HT","NYH2_2022",168.66
"2369/LH123HT","NYH2_2022",168.83
"2369/LH123HT","NYH3_2020",250.619653665016
"2369/LH123HT","NYH3_2020",172.266886124864
"2369/LH123HT","NYH3_2021",192.03
"2369/LH123HT","NYH3_2021",189.82
"2369/LH123HT","NYH3_2022",171.41
"2369/LH123HT","NYH3_2022",181.31
"2369/LH123HT","OHH1_2020",251.27578021978
"2369/LH123HT","OHH1_2020",254.997220625528
"2369/LH123HT","OHH1_2022",151.21
"2369/LH123HT","OHH1_2022",198.79
"2369/LH123HT","SCH1_2020",73.8260992392223
"2369/LH123HT","SCH1_2020",35.7871359256129
"2369/LH123HT","SCH1_2021",106.5
"2369/LH123HT","SCH1_2021",51.82
"2369/LH123HT","TXH1_2020",95.2575824175824
"2369/LH123HT","TXH1_2020",146.063214758093
"2369/LH123HT","TXH1_2021",123.33
"2369/LH123HT","TXH1_2021",156.27
"2369/LH123HT","TXH1_2022",105.01
"2369/LH123HT","TXH1_2022",143.57
"2369/LH123HT","TXH2_2020",184.646336930038
"2369/LH123HT","TXH2_2020",132.254666600368
"2369/LH123HT","TXH2_2021",225.94
"2369/LH123HT","TXH2_2021",200.28
"2369/LH123HT","TXH2_2022",91.5
"2369/LH123HT","TXH2_2022",122.97
"2369/LH123HT","TXH3_2020",131.2478546666
"2369/LH123HT","TXH3_2020",124.494386862911
"2369/LH123HT","TXH3_2021",32.15
"2369/LH123HT","TXH3_2021",71.82
"2369/LH123HT","TXH3_2022",113.53
"2369/LH123HT","TXH3_2022",86.8
"2369/LH123HT","WIH1_2020",141.176928994083
"2369/LH123HT","WIH1_2020",173.380674978867
"2369/LH123HT","WIH1_2021",200.85
"2369/LH123HT","WIH1_2021",215.32
"2369/LH123HT","WIH1_2022",182.14
"2369/LH123HT","WIH1_2022",255.39
"2369/LH123HT","WIH2_2020",228.366613947591
"2369/LH123HT","WIH2_2020",216.043975993238
"2369/LH123HT","WIH2_2021",117.86
"2369/LH123HT","WIH2_2021",172.08
"2369/LH123HT","WIH2_2022",212.28
"2369/LH123HT","WIH2_2022",179.55
"2369/LH123HT","WIH3_2020",241.36971580727
"2369/LH123HT","WIH3_2020",122.715203127642
"2369/LH123HT","WIH3_2021",186.33
"2369/LH123HT","WIH3_2021",127.68
"2369/LH123HT","WIH3_2022",225.54
"2369/LH123HT","WIH3_2022",181.06
"PHW52/PHM49","DEH1_2020",184.213754860524
"PHW52/PHM49","DEH1_2020",133.861389687236
"PHW52/PHM49","DEH1_2021",232.82
"PHW52/PHM49","DEH1_2021",197.79
"PHW52/PHM49","DEH1_2022",240.36
"PHW52/PHM49","DEH1_2022",221.29
"PHW52/PHM49","GAH1_2020",200.335291631445
"PHW52/PHM49","GAH1_2020",131.25136047713
"PHW52/PHM49","GAH1_2021",202.66
"PHW52/PHM49","GAH1_2021",178.67
"PHW52/PHM49","GAH1_2022",127.31
"PHW52/PHM49","GAH1_2022",73.12
"PHW52/PHM49","GAH2_2020",125.252858495351
"PHW52/PHM49","GAH2_2020",172.42137920541
"PHW52/PHM49","GAH2_2021",251.06
"PHW52/PHM49","GAH2_2021",169.23
"PHW52/PHM49","GAH2_2022",162.72
"PHW52/PHM49","GAH2_2022",129.31
"PHW52/PHM49","GEH1_2020",126.701430047048
"PHW52/PHM49","GEH1_2020",134.897448122374
"PHW52/PHM49","GEH1_2021",186.78
"PHW52/PHM49","GEH1_2021",230.18
"PHW52/PHM49","GEH1_2022",39.23
"PHW52/PHM49","GEH1_2022",41.72
"PHW52/PHM49","IAH1_2020",205.257076584953
"PHW52/PHM49","IAH1_2020",201.948178818983
"PHW52/PHM49","IAH1_2021",113.25
"PHW52/PHM49","IAH1_2021",151.27
"PHW52/PHM49","IAH1_2022",175.83
"PHW52/PHM49","IAH1_2022",93.46
"PHW52/PHM49","IAH2_2021",223.81
"PHW52/PHM49","IAH2_2021",230.31
"PHW52/PHM49","IAH2_2022",163.86
"PHW52/PHM49","IAH2_2022",179.63
"PHW52/PHM49","IAH3_2021",229.96
"PHW52/PHM49","IAH3_2021",274.92
"PHW52/PHM49","IAH3_2022",185.01
"PHW52/PHM49","IAH3_2022",138.46
"PHW52/PHM49","IAH4_2021",247.57
"PHW52/PHM49","IAH4_2021",171.39
"PHW52/PHM49","IAH4_2022",217.02
"PHW52/PHM49","IAH4_2022",217.36
"PHW52/PHM49","ILH1_2021",128.77
"PHW52/PHM49","ILH1_2021",164.93
"PHW52/PHM49","ILH1_2022",221.43
"PHW52/PHM49","ILH1_2022",195.1
"PHW52/PHM49","INH1_2020",192.106547016061
"PHW52/PHM49","INH1_2020",225.937116010144
"PHW52/PHM49","INH1_2021",139.36
"PHW52/PHM49","INH1_2021",132.34
"PHW52/PHM49","INH1_2022",209.57
"PHW52/PHM49","INH1_2022",140.12
"PHW52/PHM49","MIH1_2020",118.009171597633
"PHW52/PHM49","MIH1_2020",176.824209636517
"PHW52/PHM49","MIH1_2021",217.26
"PHW52/PHM49","MIH1_2021",235.11
"PHW52/PHM49","MIH1_2022",159.22
"PHW52/PHM49","MIH1_2022",218.62
"PHW52/PHM49","MNH1_2020",121.019340659341
"PHW52/PHM49","MNH1_2020",64.9233296703297
"PHW52/PHM49","MNH1_2021",184.66
"PHW52/PHM49","MNH1_2021",202.77
"PHW52/PHM49","MNH1_2022",199.87
"PHW52/PHM49","MNH1_2022",175.72
"PHW52/PHM49","MOH1_2020",111.942983640794
"PHW52/PHM49","MOH1_2020",112.782517030481
"PHW52/PHM49","MOH2_2022",76.35
"PHW52/PHM49","MOH2_2022",56.54
"PHW52/PHM49","NCH1_2020",99.1149281487743
"PHW52/PHM49","NCH1_2020",105.49650887574
"PHW52/PHM49","NCH1_2021",145.06
"PHW52/PHM49","NCH1_2021",96.21
"PHW52/PHM49","NCH1_2022",178.5
"PHW52/PHM49","NCH1_2022",168.11
"PHW52/PHM49","NEH1_2020",108.940444093121
"PHW52/PHM49","NEH1_2020",158.685355043293
"PHW52/PHM49","NEH1_2021",105.51
"PHW52/PHM49","NEH1_2021",126.67
"PHW52/PHM49","NEH1_2022",75.15
"PHW52/PHM49","NEH1_2022",81.25
"PHW52/PHM49","NEH2_2020",131.398021978022
"PHW52/PHM49","NEH2_2020",191.674200589431
"PHW52/PHM49","NEH2_2021",193.98
"PHW52/PHM49","NEH2_2021",195.43
"PHW52/PHM49","NEH2_2022",119.61
"PHW52/PHM49","NEH2_2022",72.65
"PHW52/PHM49","NEH3_2020",180.088848799433
"PHW52/PHM49","NEH3_2020",167.522220209728
"PHW52/PHM49","NEH3_2021",250.75
"PHW52/PHM49","NEH3_2021",260.42
"PHW52/PHM49","NEH3_2022",170.33
"PHW52/PHM49","NEH3_2022",196.44
"PHW52/PHM49","NYH2_2020",150.852472406714
"PHW52/PHM49","NYH2_2020",175.099311870547
"PHW52/PHM49","NYH2_2021",189.12
"PHW52/PHM49","NYH2_2021",145.5
"PHW52/PHM49","NYH2_2022",171.4
"PHW52/PHM49","NYH2_2022",164.87
"PHW52/PHM49","NYH3_2020",133.476550947953
"PHW52/PHM49","NYH3_2020",106.664926458157
"PHW52/PHM49","NYH3_2021",127.46
"PHW52/PHM49","NYH3_2021",128.27
"PHW52/PHM49","NYH3_2022",153.71
"PHW52/PHM49","NYH3_2022",178.48
"PHW52/PHM49","OHH1_2020",197.324713440406
"PHW52/PHM49","OHH1_2020",191.019212172443
"PHW52/PHM49","OHH1_2022",164.22
"PHW52/PHM49","OHH1_2022",173.47
"PHW52/PHM49","SCH1_2020",95.9990966018597
"PHW52/PHM49","SCH1_2020",43.4111945477599
"PHW52/PHM49","SCH1_2021",52.88
"PHW52/PHM49","SCH1_2021",100.46
"PHW52/PHM49","TXH1_2020",117.871267664462
"PHW52/PHM49","TXH1_2020",123.27776739098
"PHW52/PHM49","TXH1_2021",114.37
"PHW52/PHM49","TXH1_2021",89.73
"PHW52/PHM49","TXH1_2022",117.26
"PHW52/PHM49","TXH1_2022",120.14
"PHW52/PHM49","TXH2_2020",94.710564467207
"PHW52/PHM49","TXH2_2020",146.198263537368
"PHW52/PHM49","TXH2_2021",95.07
"PHW52/PHM49","TXH2_2021",197.82
"PHW52/PHM49","TXH2_2022",91.76
"PHW52/PHM49","TXH2_2022",120.14
"PHW52/PHM49","TXH3_2020",49.7962212321615
"PHW52/PHM49","TXH3_2020",89.0817703346427
"PHW52/PHM49","TXH3_2021",86.74
"PHW52/PHM49","TXH3_2021",14.15
"PHW52/PHM49","TXH3_2022",80.04
"PHW52/PHM49","TXH3_2022",61.51
"PHW52/PHM49","WIH1_2020",111.018717159763
"PHW52/PHM49","WIH1_2020",95.6345439560439
"PHW52/PHM49","WIH1_2021",231.13
"PHW52/PHM49","WIH1_2021",238.52
"PHW52/PHM49","WIH1_2022",203.17
"PHW52/PHM49","WIH1_2022",257.71
"PHW52/PHM49","WIH2_2020",212.891675401522
"PHW52/PHM49","WIH2_2020",205.572638038884
