"gen","env","yield"
"2369/LH123HT","DEH1_2021",214.63
"2369/LH123HT","DEH1_2021",187.82
"2369/LH123HT","DEH1_2022",228.94
"2369/LH123HT","DEH1_2022",242.72
"2369/LH123HT","GAH1_2021",183.63
"2369/LH123HT","GAH1_2021",163.75
"2369/LH123HT","GAH1_2022",135.37
"2369/LH123HT","GAH1_2022",114.85
"2369/LH123HT","GAH2_2021",186.75
"2369/LH123HT","GAH2_2021",179.88
"2369/LH123HT","GAH2_2022",110.14
"2369/LH123HT","GAH2_2022",155.67
"2369/LH123HT","GEH1_2021",199.68
"2369/LH123HT","GEH1_2021",160.15
"2369/LH123HT","GEH1_2022",40.94
"2369/LH123HT","GEH1_2022",29.57
"2369/LH123HT","IAH1_2021",189.41
"2369/LH123HT","IAH1_2021",204.17
"2369/LH123HT","IAH1_2022",202.02
"2369/LH123HT","IAH1_2022",187.56
"2369/LH123HT","IAH2_2021",230.68
"2369/LH123HT","IAH2_2021",207.18
"2369/LH123HT","IAH2_2022",219.76
"2369/LH123HT","IAH2_2022",254.28
"2369/LH123HT","IAH3_2021",243.35
"2369/LH123HT","IAH3_2021",188.28
"2369/LH123HT","IAH3_2022",227.77
"2369/LH123HT","IAH3_2022",203.09
"2369/LH123HT","IAH4_2021",207.72
"2369/LH123HT","IAH4_2021",181.53
"2369/LH123HT","IAH4_2022",216.66
"2369/LH123HT","IAH4_2022",206.37
"2369/LH123HT","ILH1_2021",214.91
"2369/LH123HT","ILH1_2021",250.08
"2369/LH123HT","ILH1_2022",145.21
"2369/LH123HT","ILH1_2022",175.41
"2369/LH123HT","INH1_2021",161.4
"2369/LH123HT","INH1_2021",205.6
"2369/LH123HT","INH1_2022",205.87
"2369/LH123HT","INH1_2022",167.11
"2369/LH123HT","MIH1_2021",207.92
"2369/LH123HT","MIH1_2021",193.5
"2369/LH123HT","MIH1_2022",185.53
"2369/LH123HT","MIH1_2022",153.22
"2369/LH123HT","MNH1_2021",193.06
"2369/LH123HT","MNH1_2021",206.85
"2369/LH123HT","MNH1_2022",216.31
"2369/LH123HT","MNH1_2022",166.25
"2369/LH123HT","MOH2_2022",71.37
"2369/LH123HT","MOH2_2022",84.45
"2369/LH123HT","NCH1_2021",202.76
"2369/LH123HT","NCH1_2021",180.61
"2369/LH123HT","NCH1_2022",155.9
"2369/LH123HT","NCH1_2022",168.17
"2369/LH123HT","NEH1_2021",123.48
"2369/LH123HT","NEH1_2021",9.65
"2369/LH123HT","NEH1_2022",86.35
"2369/LH123HT","NEH1_2022",94.65
"2369/LH123HT","NEH2_2021",220.18
"2369/LH123HT","NEH2_2021",199.85
"2369/LH123HT","NEH2_2022",76.8
"2369/LH123HT","NEH2_2022",56.27
"2369/LH123HT","NEH3_2021",263.38
"2369/LH123HT","NEH3_2021",215.44
"2369/LH123HT","NEH3_2022",211.56
"2369/LH123HT","NEH3_2022",227.48
"2369/LH123HT","NYH2_2021",193.27
"2369/LH123HT","NYH2_2021",208.86
"2369/LH123HT","NYH2_2022",205.03
"2369/LH123HT","NYH2_2022",132.31
"2369/LH123HT","NYH3_2021",189.82
"2369/LH123HT","NYH3_2021",192.03
"2369/LH123HT","NYH3_2022",171.41
"2369/LH123HT","NYH3_2022",181.31
"2369/LH123HT","OHH1_2022",198.79
"2369/LH123HT","OHH1_2022",198.97
"2369/LH123HT","SCH1_2021",166.74
"2369/LH123HT","SCH1_2021",52.78
"2369/LH123HT","TXH1_2021",156.27
"2369/LH123HT","TXH1_2021",123.33
"2369/LH123HT","TXH1_2022",105.01
"2369/LH123HT","TXH1_2022",143.57
"2369/LH123HT","TXH2_2021",225.94
"2369/LH123HT","TXH2_2021",200.28
"2369/LH123HT","TXH2_2022",122.97
"2369/LH123HT","TXH2_2022",91.5
"2369/LH123HT","TXH3_2021",71.82
"2369/LH123HT","TXH3_2021",32.15
"2369/LH123HT","TXH3_2022",86.8
